#environment	type	mean	std
LB	magnitude	0.06021262148202751	0.057088658006990395
LB	sign	0.082455462954426	0.06460173612158061
M9-Glucose	magnitude	0.08181208824128308	0.09066400926129203
M9-Glucose	sign	0.10631706095386528	0.09808415024261717
Urine	magnitude	0.191924515732134	0.2524744529063658
Urine	sign	0.22098048064042417	0.2588608067591476
Colon	magnitude	0.10716611836995436	0.07951109020557598
Colon	sign	0.169699197566051	0.12438282356433684
